id;invoice_date;issue_date;payment_terms;discount;notes;discount_type;deposit_amount;is_deposit_paied;deposit_method;deposit_pay_ref;is_already_paied;payment_method;payment_status;payment_ref;amount;last_amount;shipping_fees
1;2022-12-26T02:26:56;2022-12-26T04:21:00;85235;13062;systemic;PERCENTAGE;45005;false;Cash;Infrastructure gold Grove;true;Card;Complete;reboot program SQL;92692;13729;99973
2;2022-12-25T22:54:53;2022-12-26T06:21:12;38331;6307;quantify;AMOUNT;48352;true;Cash;Checking Baby;false;Card;Pending;PNG;97683;25244;36763
3;2022-12-26T14:29:33;2022-12-26T08:09:26;95348;45135;Rand;PERCENTAGE;62834;false;Cheque;transmitting EXE Director;false;Card;Incomplete;Cambridgeshire function Armenian;85471;6085;99574
4;2022-12-26T09:58:00;2022-12-26T13:09:13;26944;10665;plug-and-play structure;PERCENTAGE;34241;true;Cash;Well;true;Cheque;Failed;Towels Groves Chips;83224;82749;26260
5;2022-12-26T05:11:31;2022-12-26T08:30:41;66616;19520;Electronics neural Gorgeous;AMOUNT;11771;false;Card;Pants Wooden Intuitive;false;Cheque;Incomplete;pixel;5252;58154;88937
6;2022-12-26T04:01:58;2022-12-26T00:54:15;42722;59412;Ball tan;AMOUNT;13613;true;Cheque;navigate Malawi plum;false;BankTransfer;Incomplete;Generic User-centric program;5450;84029;41534
7;2022-12-25T22:20:43;2022-12-26T08:17:12;22236;41834;Carolina;PERCENTAGE;36970;true;Card;Response generation;false;Cash;Pending;Shoes Granite;23716;26067;94911
8;2022-12-25T19:35:07;2022-12-26T15:00:22;52363;14351;Pizza haptic;PERCENTAGE;24502;false;Card;HTTP deploy Fresh;false;Card;Complete;transmit utilize;19781;38018;16398
9;2022-12-26T05:51:14;2022-12-26T03:21:42;30892;23300;USB feed;AMOUNT;88507;true;BankTransfer;deposit;false;Cash;Complete;Unions silver Real;48123;10993;45852
10;2022-12-26T16:31:25;2022-12-26T05:51:00;5290;50663;connect;PERCENTAGE;19589;true;BankTransfer;South deposit input;false;Cheque;Complete;bandwidth Account;59108;7889;17122
