id;item_no;item_desc;item_price;item_qty;discount_type;discount;total_amount
1;61275;Buckinghamshire;75470;87443;PERCENTAGE;99043;53100
2;88274;Associate Checking Unbranded;32040;99182;AMOUNT;28618;8151
3;59985;Product;39405;32715;AMOUNT;26281;27336
4;25165;Yen Ameliorated;75664;55877;AMOUNT;24609;46576
5;53318;Frozen;44477;30886;PERCENTAGE;63;50950
6;83272;synthesize bypassing magnetic;4053;97969;AMOUNT;67511;66513
7;57967;Multi-tiered withdrawal;54661;72683;AMOUNT;71039;94517
8;53425;navigate infrastructures enterprise;22190;80916;PERCENTAGE;13844;38336
9;64277;panel Optimized reboot;27508;6753;AMOUNT;76669;65846
10;74929;Chair parsing Oklahoma;1906;42255;PERCENTAGE;81240;1795
