id;payment_method;payment_ref;amount;add_date;payment_status;payment_details;receipt_notes
1;BankTransfer;payment;43693;2022-12-29T20:20:50;Complete;Mobility Handmade;card
2;Cash;online Gourde back-end;35137;2022-12-29T07:12:41;Incomplete;24/7;Dynamic
3;BankTransfer;benchmark circuit deposit;95750;2022-12-29T09:57:33;Incomplete;Granite;Cotton Bike Liaison
4;Cheque;Dollar Optimization;78636;2022-12-29T07:56:08;Failed;Metrics envisioneer;Unit
5;Card;green plum hack;97205;2022-12-29T21:05:21;Complete;Chips;matrix Berkshire
6;Cheque;quantifying Borders Account;76216;2022-12-30T02:41:02;Pending;Books Loan;reboot well-modulated
7;Cash;invoice Licensed Soft;54819;2022-12-29T05:45:22;Incomplete;Web reciprocal;Fresh
8;Cash;state;26742;2022-12-29T13:38:46;Complete;Shoal Tuna;primary generate payment
9;BankTransfer;Sports Virginia index;69661;2022-12-29T15:49:20;Complete;back-end 24/7 Cliff;Shoes programming National
10;Card;Martinique;8057;2022-12-30T00:16:56;Pending;communities;Forint
