id;invoice_date;issue_date;payment_terms;discount;notes;discount_type;deposit_amount;is_deposit_paied;deposit_method;deposit_pay_ref;is_already_paied;payment_method;payment_status;payment_ref;amount;last_amount;shipping_fees
1;2022-12-26T13:14:13;2022-12-26T02:10:48;90322;51505;92856;AMOUNT;75775;true;Cash;reciprocal;false;BankTransfer;Pending;Mauritania Handcrafted;65466;56543;33868
2;2022-12-25T22:08:47;2022-12-25T18:24:06;91219;2258;38846;AMOUNT;13215;true;Card;extend International;true;Cash;Failed;transparent Trafficway;54036;80868;21327
3;2022-12-25T22:44:49;2022-12-26T07:38:13;63852;9414;75627;PERCENTAGE;40893;true;BankTransfer;Identity tan;true;Cheque;Pending;SQL;84789;2887;87815
4;2022-12-25T21:48:33;2022-12-26T09:10:26;29148;12735;50464;AMOUNT;12235;false;BankTransfer;Dakota Berkshire Pennsylvania;false;BankTransfer;Failed;Iceland;8583;45160;23135
5;2022-12-25T23:08:21;2022-12-26T10:36:45;216;97495;71187;PERCENTAGE;44343;true;Cash;Japan Awesome SAS;false;Cheque;Incomplete;User-centric metrics Avon;24768;37355;92132
6;2022-12-25T23:35:26;2022-12-26T13:47:40;58208;38665;96728;PERCENTAGE;35707;true;BankTransfer;Generic Skyway;true;Card;Complete;transmit ivory;75031;7077;219
7;2022-12-26T04:29:29;2022-12-26T12:12:39;90706;35047;54290;AMOUNT;67335;true;Card;Universal tan;false;Cheque;Complete;Shoes Credit Dale;16055;64686;79262
8;2022-12-26T08:20:26;2022-12-25T21:05:50;18089;73583;7185;AMOUNT;8680;false;Cheque;copying bluetooth content-based;false;Card;Incomplete;Cheese Keyboard ivory;82546;26923;57090
9;2022-12-26T06:03:53;2022-12-26T12:46:43;85914;22958;30951;AMOUNT;63103;true;Card;Pizza robust;true;Cash;Complete;bandwidth Awesome application;11361;10499;82542
10;2022-12-26T17:06:44;2022-12-25T18:30:42;71436;37084;65780;PERCENTAGE;36181;false;Card;Handmade Rubber;false;BankTransfer;Failed;tan;67137;49231;15318
