id;item_no;item_desc;item_price;item_qty;discount_type;discount;total_amount
1;5871;Licensed application Guarani;42281;48017;PERCENTAGE;43143;29487
2;70617;reboot;81265;41252;AMOUNT;37388;84364
3;17063;Hat logistical well-modulated;87759;15591;PERCENTAGE;8067;88243
4;42372;conglomeration;56139;57514;AMOUNT;77296;864
5;98793;Coordinator secured drive;27573;89230;PERCENTAGE;45884;98906
6;86071;navigate Estates up;21132;99012;AMOUNT;42925;69624
7;4889;override;3466;84926;AMOUNT;55508;1590
8;23233;Emirates Health;85643;81747;PERCENTAGE;30322;24419
9;61054;invoice regional;66810;57805;PERCENTAGE;65632;63290
10;56825;Alaska;24418;49801;PERCENTAGE;86065;67059
