id;name;description;cost;price;discount;notes;discount_type
1;Cotton Helena Jewelery;bypassing Louisiana Berkshire;71384;17282;68896;49943;AMOUNT
2;Car Regional;deposit Pakistan Guarani;86741;28948;55796;74781;PERCENTAGE
3;Assistant;Corporate redundant;39491;62177;58024;19076;AMOUNT
4;Chicken;Refined;96338;76605;56525;80952;PERCENTAGE
5;deposit;Regional;18751;23976;91036;62614;AMOUNT
6;multi-byte;Total;80621;31026;80938;50937;AMOUNT
7;Buckinghamshire neural;Alaska Product auxiliary;81681;48049;1612;91147;PERCENTAGE
8;Cotton client-driven;Northern Associate;25531;24587;53945;74479;AMOUNT
9;transmitting Turnpike Ball;Beauty;60623;10335;58423;42275;PERCENTAGE
10;Computers Intuitive initiatives;Cambridgeshire 1080p global;56685;62206;30075;59403;PERCENTAGE
