id;title;description;start_date;end_date;budget;item_serial;is_waranty;notes
1;communities;solution Gorgeous GB;2022-12-26T11:07:13;2022-12-25T21:13:18;27539;tolerance primary;false;Namibia Profound override
2;hacking;Account iterate;2022-12-26T09:12:18;2022-12-25T22:26:52;65377;mission-critical Automated Market;false;program Garden
3;Communications deposit systemic;Incredible;2022-12-25T22:52:55;2022-12-26T02:01:54;85193;modular quantifying Chips;false;evolve Tuna
4;5th Car;Principal Tasty ADP;2022-12-26T01:40:50;2022-12-26T07:33:07;91113;infomediaries Jewelery;true;Fantastic
5;Security action-items;Account;2022-12-26T16:32:22;2022-12-26T15:58:55;59297;Officer Singapore;true;Architect
6;interactive Steel;withdrawal schemas Hollow;2022-12-26T02:49:28;2022-12-26T12:51:46;791;Down-sized Metical Self-enabling;false;Regional Sports B2B
7;Tools cross-platform empowering;Functionality Florida;2022-12-26T08:57:20;2022-12-26T08:46:46;24748;Customer;true;Brooks
8;portal;methodologies up;2022-12-26T15:45:48;2022-12-25T21:03:36;17506;Books;false;web-readiness Practical
9;productize Chips Universal;Regional Maryland channels;2022-12-26T02:21:59;2022-12-25T23:55:44;75517;Honduras Card;true;port withdrawal
10;brand;Borders optical Facilitator;2022-12-26T00:16:38;2022-12-25T20:57:30;41529;Kuwaiti deploy;false;auxiliary deposit
